2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | add_job:454 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | add_job:454 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | add_job:454 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | add_job:454 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | add_job:454 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | add_job:454 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | add_job:454 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | add_job:454 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | add_job:454 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | _real_add_job:895 | Added job "PriceUpdater.update_price" to job store "default"
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | _real_add_job:895 | Added job "PriceUpdater.update_price" to job store "default"
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | _real_add_job:895 | Added job "PriceUpdater.update_price" to job store "default"
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | _real_add_job:895 | Added job "PriceUpdater.update_price" to job store "default"
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | _real_add_job:895 | Added job "PriceUpdater.update_price" to job store "default"
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | _real_add_job:895 | Added job "PriceUpdater.update_price" to job store "default"
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | _real_add_job:895 | Added job "PriceUpdater.update_price" to job store "default"
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | _real_add_job:895 | Added job "PriceUpdater.update_price" to job store "default"
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | _real_add_job:895 | Added job "PriceUpdater.update_price" to job store "default"
2026-04-15 12:02:46 | INFO     | apscheduler.scheduler | start:181 | Scheduler started
2026-04-15 13:00:00 | INFO     | apscheduler.executors.default | run_coroutine_job:28 | Running job "PriceUpdater.update_price (trigger: cron[hour='13', minute='0'], next run at: 2026-04-16 13:00:00 MSK)" (scheduled at 2026-04-15 13:00:00+03:00)
